Protein Uniprot,Protein names,Length,Mass
Q15424,Scaffold attachment factor B1 (SAF-B) (SAF-B1) (HSP27 estrogen response element-TATA box-binding protein) (HSP27 ERE-TATA-binding protein),915,102642
Q15427,Splicing factor 3B subunit 4 (Pre-mRNA-splicing factor SF3b 49 kDa subunit) (Spliceosome-associated protein 49) (SAP 49),424,44386
Q15428,Splicing factor 3A subunit 2 (SF3a66) (Spliceosome-associated protein 62) (SAP 62),464,49256
Q15431,Synaptonemal complex protein 1 (SCP-1) (Cancer/testis antigen 8) (CT8),976,114192
Q15435,Protein phosphatase 1 regulatory subunit 7 (Protein phosphatase 1 regulatory subunit 22),360,41564
Q15436,Protein transport protein Sec23A (hSec23A) (SEC23-related protein A),765,86161
Q15437,Protein transport protein Sec23B (hSec23B) (SEC23-related protein B),767,86479
Q15438,"Cytohesin-1 (PH, SEC7 and coiled-coil domain-containing protein 1) (SEC7 homolog B2-1)",398,46413
Q15459,Splicing factor 3A subunit 1 (SF3a120) (Spliceosome-associated protein 114) (SAP 114),793,88886
Q15464,SH2 domain-containing adapter protein B,509,55042
Q15465,Sonic hedgehog protein (SHH) (EC 3.1.-.-) (HHG-1) (Shh unprocessed N-terminal signaling and C-terminal autoprocessing domains) (ShhNC) [Cleaved into: Sonic hedgehog protein N-product (ShhN) (Shh N-terminal processed signaling domains) (ShhNp)],462,49607
Q15466,Nuclear receptor subfamily 0 group B member 2 (Orphan nuclear receptor SHP) (Small heterodimer partner),257,28058
Q15468,SCL-interrupting locus protein (TAL-1-interrupting locus protein),1287,142955
Q15475,Homeobox protein SIX1 (Sine oculis homeobox homolog 1),284,32210
Q15477,SKI2 subunit of superkiller complex protein (Helicase SKI2W) (Ski2) (EC 3.6.4.13) (Helicase-like protein) (HLP),1246,137755
Q15485,Ficolin-2 (37 kDa elastin-binding protein) (Collagen/fibrinogen domain-containing protein 2) (EBP-37) (Ficolin-B) (Ficolin-beta) (Hucolin) (L-ficolin) (Serum lectin p35),313,34001
Q15493,Regucalcin (RC) (Gluconolactonase) (GNL) (EC 3.1.1.17) (Senescence marker protein 30) (SMP-30),299,33253
Q15506,Sperm surface protein Sp17 (Cancer/testis antigen 22) (CT22) (Sp17-1) (Sperm autoantigenic protein 17) (Sperm protein 17),151,17406
Q15517,Corneodesmosin (S protein),529,51522
Q15526,Surfeit locus protein 1,300,33331
Q15528,Mediator of RNA polymerase II transcription subunit 22 (Mediator complex subunit 22) (Surfeit locus protein 5) (Surf-5),200,22221
Q15532,Protein SSXT (Protein SYT) (Synovial sarcoma translocated to X chromosome protein),418,45929
Q15542,Transcription initiation factor TFIID subunit 5 (Transcription initiation factor TFIID 100 kDa subunit) (TAF(II)100) (TAFII-100) (TAFII100),800,86830
Q15543,Transcription initiation factor TFIID subunit 13 (Transcription initiation factor TFIID 18 kDa subunit) (TAF(II)18) (TAFII-18) (TAFII18),124,14287
Q15544,Transcription initiation factor TFIID subunit 11 (TFIID subunit p30-beta) (Transcription initiation factor TFIID 28 kDa subunit) (TAF(II)28) (TAFII-28) (TAFII28),211,23307
Q15545,Transcription initiation factor TFIID subunit 7 (RNA polymerase II TBP-associated factor subunit F) (Transcription initiation factor TFIID 55 kDa subunit) (TAF(II)55) (TAFII-55) (TAFII55),349,40259
Q15546,Monocyte to macrophage differentiation factor (Progestin and adipoQ receptor family member 11) (Progestin and adipoQ receptor family member XI),238,27667
Q15554,Telomeric repeat-binding factor 2 (TTAGGG repeat-binding factor 2) (Telomeric DNA-binding protein),542,59594
Q15555,Microtubule-associated protein RP/EB family member 2 (APC-binding protein EB2) (End-binding protein 2) (EB2),327,37031
Q15560,Transcription elongation factor A protein 2 (Testis-specific S-II) (Transcription elongation factor S-II protein 2) (Transcription elongation factor TFIIS.l),299,33601
Q15561,Transcriptional enhancer factor TEF-3 (TEA domain family member 4) (TEAD-4) (Transcription factor 13-like 1) (Transcription factor RTEF-1),434,48329
Q15562,Transcriptional enhancer factor TEF-4 (TEA domain family member 2) (TEAD-2),447,49243
Q15569,Dual specificity testis-specific protein kinase 1 (EC 2.7.12.1) (Testicular protein kinase 1),626,67684
Q15572,TATA box-binding protein-associated factor RNA polymerase I subunit C (RNA polymerase I-specific TBP-associated factor 110 kDa) (TAFI110) (TATA box-binding protein-associated factor 1C) (TBP-associated factor 1C) (Transcription initiation factor SL1/TIF-IB subunit C),869,95213
Q15573,TATA box-binding protein-associated factor RNA polymerase I subunit A (RNA polymerase I-specific TBP-associated factor 48 kDa) (TAFI48) (TATA box-binding protein-associated factor 1A) (TBP-associated factor 1A) (Transcription factor SL1) (Transcription initiation factor SL1/TIF-IB subunit A),450,52676
Q15582,Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3) (Kerato-epithelin) (RGD-containing collagen-associated protein) (RGD-CAP),683,74681
Q15583,Homeobox protein TGIF1 (5'-TG-3'-interacting factor 1),401,43013
Q15596,Nuclear receptor coactivator 2 (NCoA-2) (Class E basic helix-loop-helix protein 75) (bHLHe75) (Transcriptional intermediary factor 2) (hTIF2),1464,159157
Q15599,Na(+)/H(+) exchange regulatory cofactor NHE-RF2 (NHERF-2) (NHE3 kinase A regulatory protein E3KARP) (SRY-interacting protein 1) (SIP-1) (Sodium-hydrogen exchanger regulatory factor 2) (Solute carrier family 9 isoform A3 regulatory factor 2) (Tyrosine kinase activator protein 1) (TKA-1),337,37414
Q155Q3,Dixin (Coiled-coil protein DIX1) (Coiled-coil-DIX1) (DIX domain-containing protein 1),683,77478
Q15628,Tumor necrosis factor receptor type 1-associated DEATH domain protein (TNFR1-associated DEATH domain protein) (TNFRSF1A-associated via death domain),312,34247
Q15629,Translocating chain-associated membrane protein 1 (Protein TRAM1),374,43072
Q15631,Translin (EC 3.1.-.-) (Component 3 of promoter of RISC) (C3PO),228,26183
Q15633,RISC-loading complex subunit TARBP2 (TAR RNA-binding protein 2) (Trans-activation-responsive RNA-binding protein),366,39039
Q15637,Splicing factor 1 (Mammalian branch point-binding protein) (BBP) (mBBP) (Transcription factor ZFM1) (Zinc finger gene in MEN1 locus) (Zinc finger protein 162),639,68330
Q15642,Cdc42-interacting protein 4 (Protein Felic) (Salt tolerant protein) (hSTP) (Thyroid receptor-interacting protein 10) (TR-interacting protein 10) (TRIP-10),601,68352
Q15643,Thyroid receptor-interacting protein 11 (TR-interacting protein 11) (TRIP-11) (Clonal evolution-related gene on chromosome 14 protein) (Golgi-associated microtubule-binding protein 210) (GMAP-210) (Trip230),1979,227586
Q15645,Pachytene checkpoint protein 2 homolog (Human papillomavirus type 16 E1 protein-binding protein) (16E1-BP) (HPV16 E1 protein-binding protein) (Thyroid hormone receptor interactor 13) (Thyroid receptor-interacting protein 13) (TR-interacting protein 13) (TRIP-13),432,48551
Q15646,2'-5'-oligoadenylate synthase-like protein (2'-5'-OAS-related protein) (2'-5'-OAS-RP) (59 kDa 2'-5'-oligoadenylate synthase-like protein) (Thyroid receptor-interacting protein 14) (TR-interacting protein 14) (TRIP-14) (p59 OASL) (p59OASL),514,59226
Q15648,Mediator of RNA polymerase II transcription subunit 1 (Activator-recruited cofactor 205 kDa component) (ARC205) (Mediator complex subunit 1) (Peroxisome proliferator-activated receptor-binding protein) (PBP) (PPAR-binding protein) (Thyroid hormone receptor-associated protein complex 220 kDa component) (Trap220) (Thyroid receptor-interacting protein 2) (TR-interacting protein 2) (TRIP-2) (Vitamin D receptor-interacting protein complex component DRIP205) (p53 regulatory protein RB18A),1581,168478
Q15649,Zinc finger HIT domain-containing protein 3 (HNF-4a coactivator) (Thyroid hormone receptor interactor 3) (Thyroid receptor-interacting protein 3) (TR-interacting protein 3) (TRIP-3),155,17607
Q15650,Activating signal cointegrator 1 (ASC-1) (Thyroid receptor-interacting protein 4) (TR-interacting protein 4) (TRIP-4),581,66146
Q15652,Probable JmjC domain-containing histone demethylation protein 2C (EC 1.14.11.-) (Jumonji domain-containing protein 1C) (Thyroid receptor-interacting protein 8) (TR-interacting protein 8) (TRIP-8),2540,284525
Q15653,NF-kappa-B inhibitor beta (NF-kappa-BIB) (I-kappa-B-beta) (IkB-B) (IkB-beta) (IkappaBbeta) (Thyroid receptor-interacting protein 9) (TR-interacting protein 9) (TRIP-9),356,37771
Q15654,Thyroid receptor-interacting protein 6 (TR-interacting protein 6) (TRIP-6) (Opa-interacting protein 1) (OIP-1) (Zyxin-related protein 1) (ZRP-1),476,50288
Q15661,Tryptase alpha/beta-1 (Tryptase-1) (EC 3.4.21.59) (Tryptase I) (Tryptase alpha-1),275,30515
Q15669,Rho-related GTP-binding protein RhoH (GTP-binding protein TTF) (Translocation three four protein),191,21331
Q15672,Twist-related protein 1 (Class A basic helix-loop-helix protein 38) (bHLHa38) (H-twist),202,20954
Q15678,Tyrosine-protein phosphatase non-receptor type 14 (EC 3.1.3.48) (Protein-tyrosine phosphatase pez),1187,135261
Q15691,Microtubule-associated protein RP/EB family member 1 (APC-binding protein EB1) (End-binding protein 1) (EB1),268,29999
Q15696,"U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2 (CCCH type zinc finger, RNA-binding motif and serine/arginine rich protein 2) (Renal carcinoma antigen NY-REN-20) (U2(RNU2) small nuclear RNA auxiliary factor 1-like 2) (U2AF35-related protein) (URP)",482,58045
Q15697,Zinc finger protein 174 (AW-1) (Zinc finger and SCAN domain-containing protein 8),407,46455
Q15699,ALX homeobox protein 1 (Cartilage homeoprotein 1) (CART-1),326,36961
Q15700,Disks large homolog 2 (Channel-associated protein of synapse-110) (Chapsyn-110) (Postsynaptic density protein PSD-93),870,97552
Q15714,TSC22 domain family protein 1 (Cerebral protein 2) (Regulatory protein TSC-22) (TGFB-stimulated clone 22 homolog) (Transforming growth factor beta-1-induced transcript 4 protein),1073,109677
Q15717,ELAV-like protein 1 (Hu-antigen R) (HuR),326,36092
Q15722,Leukotriene B4 receptor 1 (LTB4-R 1) (LTB4-R1) (Chemoattractant receptor-like 1) (G-protein coupled receptor 16) (P2Y purinoceptor 7) (P2Y7),352,37557
Q15723,ETS-related transcription factor Elf-2 (E74-like factor 2) (New ETS-related factor),593,63967
Q15726,Metastasis-suppressor KiSS-1 (Kisspeptin-1) [Cleaved into: Metastin (Kisspeptin-54); Kisspeptin-14; Kisspeptin-13; Kisspeptin-10],138,14705
Q15735,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A (EC 3.1.3.36) (Inositol polyphosphate 5-phosphatase J) (Phosphatidylinositol 1,3,4,5-tetrakisphosphate 5-phosphatase) (EC 3.1.3.56) (Phosphatidylinositol 1,4,5-trisphosphate 5-phosphatase) (EC 3.1.3.56)",1006,107197
Q15738,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating (EC 1.1.1.170) (Protein H105e3)",373,41900
Q15742,NGFI-A-binding protein 2 (EGR-1-binding protein 2) (Melanoma-associated delayed early response protein) (Protein MADER),525,56594
Q15743,Ovarian cancer G-protein coupled receptor 1 (OGR-1) (G-protein coupled receptor 68) (GPR12A) (Sphingosylphosphorylcholine receptor),365,41077
Q15744,CCAAT/enhancer-binding protein epsilon (C/EBP epsilon),281,30603
Q15746,"Myosin light chain kinase, smooth muscle (MLCK) (smMLCK) (EC 2.7.11.18) (Kinase-related protein) (KRP) (Telokin) [Cleaved into: Myosin light chain kinase, smooth muscle, deglutamylated form]",1914,210715
Q15750,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 (Mitogen-activated protein kinase kinase kinase 7-interacting protein 1) (TGF-beta-activated kinase 1-binding protein 1) (TAK1-binding protein 1),504,54644
Q15751,Probable E3 ubiquitin-protein ligase HERC1 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 1) (HECT-type E3 ubiquitin transferase HERC1) (p532) (p619),4861,532228
Q15758,Neutral amino acid transporter B(0) (ATB(0)) (Baboon M7 virus receptor) (RD114/simian type D retrovirus receptor) (Sodium-dependent neutral amino acid transporter type 2) (Solute carrier family 1 member 5),541,56598
Q15759,Mitogen-activated protein kinase 11 (MAP kinase 11) (MAPK 11) (EC 2.7.11.24) (Mitogen-activated protein kinase p38 beta) (MAP kinase p38 beta) (p38b) (Stress-activated protein kinase 2b) (SAPK2b) (p38-2),364,41357
Q15761,Neuropeptide Y receptor type 5 (NPY5-R) (NPY-Y5 receptor) (NPYY5-R) (Y5 receptor),445,50727
Q15762,CD226 antigen (DNAX accessory molecule 1) (DNAM-1) (CD antigen CD226),336,38614
Q15768,Ephrin-B3 (EPH-related receptor transmembrane ligand ELK-L3) (EPH-related receptor tyrosine kinase ligand 8) (LERK-8),340,35835
Q15771,Ras-related protein Rab-30,203,23058
Q15772,Striated muscle preferentially expressed protein kinase (EC 2.7.11.1) (Aortic preferentially expressed protein 1) (APEG-1),3267,354289
Q15776,Zinc finger protein with KRAB and SCAN domains 8 (LD5-1) (Zinc finger protein 192),578,65816
Q15777,Metallophosphoesterase MPPED2 (EC 3.1.-.-) (Fetal brain protein 239) (239FB) (Metallophosphoesterase domain-containing protein 2),294,33360
Q15782,Chitinase-3-like protein 2 (Chondrocyte protein 39) (YKL-39),390,43501
Q15784,Neurogenic differentiation factor 2 (NeuroD2) (Class A basic helix-loop-helix protein 1) (bHLHa1) (NeuroD-related factor) (NDRF),382,41361
Q15785,Mitochondrial import receptor subunit TOM34 (hTom34) (Translocase of outer membrane 34 kDa subunit),309,34559
Q15788,Nuclear receptor coactivator 1 (NCoA-1) (EC 2.3.1.48) (Class E basic helix-loop-helix protein 74) (bHLHe74) (Protein Hin-2) (RIP160) (Renal carcinoma antigen NY-REN-52) (Steroid receptor coactivator 1) (SRC-1),1441,156757
Q15796,Mothers against decapentaplegic homolog 2 (MAD homolog 2) (Mothers against DPP homolog 2) (JV18-1) (Mad-related protein 2) (hMAD-2) (SMAD family member 2) (SMAD 2) (Smad2) (hSMAD2),467,52306
Q15797,Mothers against decapentaplegic homolog 1 (MAD homolog 1) (Mothers against DPP homolog 1) (JV4-1) (Mad-related protein 1) (SMAD family member 1) (SMAD 1) (Smad1) (hSMAD1) (Transforming growth factor-beta-signaling protein 1) (BSP-1),465,52260
Q15800,Methylsterol monooxygenase 1 (EC 1.14.18.9) (C-4 methylsterol oxidase) (Sterol-C4-methyl oxidase),293,35216
Q15811,Intersectin-1 (SH3 domain-containing protein 1A) (SH3P17),1721,195422
Q15813,Tubulin-specific chaperone E (Tubulin-folding cofactor E),527,59346
Q15814,Tubulin-specific chaperone C (Tubulin-folding cofactor C) (CFC),346,39248
Q15818,Neuronal pentraxin-1 (NP1) (Neuronal pentraxin I) (NP-I),432,47122
Q15819,Ubiquitin-conjugating enzyme E2 variant 2 (DDVit 1) (Enterocyte differentiation-associated factor 1) (EDAF-1) (Enterocyte differentiation-promoting factor 1) (EDPF-1) (MMS2 homolog) (Vitamin D3-inducible protein),145,16363
Q15822,Neuronal acetylcholine receptor subunit alpha-2,529,59765
Q15825,Neuronal acetylcholine receptor subunit alpha-6,494,56898
Q15828,Cystatin-M (Cystatin-6) (Cystatin-E),149,16511
Q15831,Serine/threonine-protein kinase STK11 (EC 2.7.11.1) (Liver kinase B1) (LKB1) (hLKB1) (Renal carcinoma antigen NY-REN-19),433,48636
Q15833,Syntaxin-binding protein 2 (Protein unc-18 homolog 2) (Unc18-2) (Protein unc-18 homolog B) (Unc-18B),593,66453
Q15834,Coiled-coil domain-containing protein 85B (Hepatitis delta antigen-interacting protein A) (Delta-interacting protein A),202,22091
Q15835,Rhodopsin kinase GRK1 (RK) (EC 2.7.11.14) (G protein-coupled receptor kinase 1),563,63526
Q15836,Vesicle-associated membrane protein 3 (VAMP-3) (Cellubrevin) (CEB) (Synaptobrevin-3),100,11309
Q15842,"ATP-sensitive inward rectifier potassium channel 8 (Inward rectifier K(+) channel Kir6.1) (Potassium channel, inwardly rectifying subfamily J member 8) (uKATP-1)",424,47968
Q15843,NEDD8 (Neddylin) (Neural precursor cell expressed developmentally down-regulated protein 8) (NEDD-8) (Ubiquitin-like protein Nedd8),81,9072
Q15848,"Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipose most abundant gene transcript 1 protein) (apM-1) (Gelatin-binding protein)",244,26414
Q15849,"Urea transporter 2 (Solute carrier family 14 member 2) (Urea transporter, kidney)",920,101209
Q15853,Upstream stimulatory factor 2 (Class B basic helix-loop-helix protein 12) (bHLHb12) (FOS-interacting protein) (FIP) (Major late transcription factor 2) (Upstream transcription factor 2),346,36955
Q15858,Sodium channel protein type 9 subunit alpha (Neuroendocrine sodium channel) (hNE-Na) (Peripheral sodium channel 1) (PN1) (Sodium channel protein type IX subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.7),1988,226372
Q15878,"Voltage-dependent R-type calcium channel subunit alpha-1E (Brain calcium channel II) (BII) (Calcium channel, L type, alpha-1 polypeptide, isoform 6) (Voltage-gated calcium channel subunit alpha Cav2.3)",2313,261731
Q15884,Endosomal transmembrane epsin interactor 1 (Endosomal transmembrane binding with epsin),450,49703
Q15904,V-type proton ATPase subunit S1 (V-ATPase subunit S1) (Protein XAP-3) (V-ATPase Ac45 subunit) (V-ATPase S1 accessory protein) (Vacuolar proton pump subunit S1),470,52026
Q15906,Vacuolar protein sorting-associated protein 72 homolog (Protein YL-1) (Transcription factor-like 1),364,40594
Q15907,Ras-related protein Rab-11B (EC 3.6.5.2) (GTP-binding protein YPT3),218,24489
Q15910,Histone-lysine N-methyltransferase EZH2 (EC 2.1.1.356) (ENX-1) (Enhancer of zeste homolog 2) (Lysine N-methyltransferase 6),746,85363
Q15911,Zinc finger homeobox protein 3 (AT motif-binding factor 1) (AT-binding transcription factor 1) (Alpha-fetoprotein enhancer-binding protein) (Zinc finger homeodomain protein 3) (ZFH-3),3703,404419
Q15915,Zinc finger protein ZIC 1 (Zinc finger protein 201) (Zinc finger protein of the cerebellum 1),447,48309
Q15916,Zinc finger and BTB domain-containing protein 6 (Zinc finger protein 482) (Zinc finger protein with interaction domain),424,48236
Q15928,Zinc finger protein 141,474,55249
Q15935,Zinc finger protein 77 (ZNFpT1),545,61964
Q15942,Zyxin (Zyxin-2),572,61277
Q15973,Zinc finger protein 124 (Zinc finger protein HZF-16),351,40217
Q16082,Heat shock protein beta-2 (HspB2) (DMPK-binding protein) (MKBP),182,20233
Q16099,"Glutamate receptor ionotropic, kainate 4 (GluK4) (Excitatory amino acid receptor 1) (EAA1) (Glutamate receptor KA-1) (KA1)",956,107246
Q16134,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial (ETF-QO) (ETF-ubiquinone oxidoreductase) (EC 1.5.5.1) (Electron-transferring-flavoprotein dehydrogenase) (ETF dehydrogenase)",617,68495
Q16143,Beta-synuclein,134,14288
Q16181,Septin-7 (CDC10 protein homolog),437,50680
Q16186,Proteasomal ubiquitin receptor ADRM1 (110 kDa cell membrane glycoprotein) (Gp110) (Adhesion-regulating molecule 1) (ARM-1) (Proteasome regulatory particle non-ATPase 13) (hRpn13) (Rpn13 homolog),407,42153
Q16204,Coiled-coil domain-containing protein 6 (Papillary thyroid carcinoma-encoded protein) (Protein H4),474,53291
Q16206,Ecto-NOX disulfide-thiol exchanger 2 (APK1 antigen) (Cytosolic ovarian carcinoma antigen 1) (Tumor-associated hydroquinone oxidase) (tNOX) [Includes: Hydroquinone [NADH] oxidase (EC 1.-.-.-); Protein disulfide-thiol oxidoreductase (EC 1.-.-.-)],610,70082
Q16222,UDP-N-acetylhexosamine pyrophosphorylase (Antigen X) (AGX) (Sperm-associated antigen 2) [Includes: UDP-N-acetylgalactosamine pyrophosphorylase (EC 2.7.7.83) (AGX-1); UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (AGX-2)],522,58769
Q16236,"Nuclear factor erythroid 2-related factor 2 (NF-E2-related factor 2) (NFE2-related factor 2) (Nrf-2) (HEBP1) (Nuclear factor, erythroid derived 2, like 2)",605,67827
Q16254,Transcription factor E2F4 (E2F-4),413,43960
Q16270,Insulin-like growth factor-binding protein 7 (IBP-7) (IGF-binding protein 7) (IGFBP-7) (IGFBP-rP1) (MAC25 protein) (PGI2-stimulating factor) (Prostacyclin-stimulating factor) (Tumor-derived adhesion factor) (TAF),282,29130
Q16280,Cyclic nucleotide-gated olfactory channel (Cyclic nucleotide-gated cation channel 2) (Cyclic nucleotide-gated channel alpha-2) (CNG channel alpha-2) (CNG-2) (CNG2),664,76048
Q16281,Cyclic nucleotide-gated cation channel alpha-3 (Cone photoreceptor cGMP-gated channel subunit alpha) (Cyclic nucleotide-gated channel alpha-3) (CNG channel alpha-3) (CNG-3) (CNG3),694,78838
Q16288,NT-3 growth factor receptor (EC 2.7.10.1) (GP145-TrkC) (Trk-C) (Neurotrophic tyrosine kinase receptor type 3) (TrkC tyrosine kinase),839,94428
Q16322,Potassium voltage-gated channel subfamily A member 10 (Voltage-gated potassium channel subunit Kv1.8),511,57785
Q16342,Programmed cell death protein 2 (Zinc finger MYND domain-containing protein 7) (Zinc finger protein Rp-8),344,38592
Q16348,"Solute carrier family 15 member 2 (Kidney H(+)/peptide cotransporter) (Oligopeptide transporter, kidney isoform) (Peptide transporter 2)",729,81783
Q16352,Alpha-internexin (Alpha-Inx) (66 kDa neurofilament protein) (NF-66) (Neurofilament-66) (Neurofilament 5),499,55391
Q16363,Laminin subunit alpha-4 (Laminin-14 subunit alpha) (Laminin-8 subunit alpha) (Laminin-9 subunit alpha),1823,202524
Q16384,"Protein SSX1 (Cancer/testis antigen 5.1) (CT5.1) (Synovial sarcoma, X breakpoint 1)",188,21931
Q16385,"Protein SSX2 (Cancer/testis antigen 5.2) (CT5.2) (Synovial sarcoma, X breakpoint 2) (Tumor antigen HOM-MEL-40)",188,21620
Q16394,Exostosin-1 (EC 2.4.1.224) (EC 2.4.1.225) (Glucuronosyl-N-acetylglucosaminyl-proteoglycan/N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Multiple exostoses protein 1) (Putative tumor suppressor protein EXT1),746,86255
Q16401,26S proteasome non-ATPase regulatory subunit 5 (26S protease subunit S5 basic) (26S proteasome subunit S5B),504,56196
Q16445,Gamma-aminobutyric acid receptor subunit alpha-6 (GABA(A) receptor subunit alpha-6),453,51024
Q16478,"Glutamate receptor ionotropic, kainate 5 (GluK5) (Excitatory amino acid receptor 2) (EAA2) (Glutamate receptor KA-2) (KA2)",980,109265
Q16512,Serine/threonine-protein kinase N1 (EC 2.7.11.13) (Protease-activated kinase 1) (PAK-1) (Protein kinase C-like 1) (Protein kinase C-like PKN) (Protein kinase PKN-alpha) (Protein-kinase C-related kinase 1) (Serine-threonine protein kinase N),942,103932
Q16513,Serine/threonine-protein kinase N2 (EC 2.7.11.13) (PKN gamma) (Protein kinase C-like 2) (Protein-kinase C-related kinase 2),984,112035
Q16514,Transcription initiation factor TFIID subunit 12 (Transcription initiation factor TFIID 20/15 kDa subunits) (TAFII-20/TAFII-15) (TAFII20/TAFII15),161,17924
Q16515,"Acid-sensing ion channel 2 (ASIC2) (Amiloride-sensitive brain sodium channel) (Amiloride-sensitive cation channel 1, neuronal) (Amiloride-sensitive cation channel neuronal 1) (Brain sodium channel 1) (BNC1) (BNaC1) (Mammalian degenerin homolog) (MDEG)",512,57709
Q16518,Retinoid isomerohydrolase (EC 3.1.1.64) (All-trans-retinyl-palmitate hydrolase) (Lutein isomerase) (Meso-zeaxanthin isomerase) (EC 5.3.3.22) (Retinal pigment epithelium-specific 65 kDa protein) (Retinol isomerase),533,60948
Q16520,Basic leucine zipper transcriptional factor ATF-like (B-cell-activating transcription factor) (B-ATF) (SF-HT-activated gene 2 protein) (SFA-2),125,14120
Q16526,Cryptochrome-1,586,66395
Q16527,Cysteine and glycine-rich protein 2 (Cysteine-rich protein 2) (CRP2) (LIM domain only protein 5) (LMO-5) (Smooth muscle cell LIM protein) (SmLIM),193,20954
Q16531,DNA damage-binding protein 1 (DDB p127 subunit) (DNA damage-binding protein a) (DDBa) (Damage-specific DNA-binding protein 1) (HBV X-associated protein 1) (XAP-1) (UV-damaged DNA-binding factor) (UV-damaged DNA-binding protein 1) (UV-DDB 1) (XPE-binding factor) (XPE-BF) (Xeroderma pigmentosum group E-complementing protein) (XPCe),1140,126968
Q16533,snRNA-activating protein complex subunit 1 (SNAPc subunit 1) (Proximal sequence element-binding transcription factor subunit gamma) (PSE-binding factor subunit gamma) (PTF subunit gamma) (Small nuclear RNA-activating complex polypeptide 1) (snRNA-activating protein complex 43 kDa subunit) (SNAPc 43 kDa subunit),368,42994
Q16534,Hepatic leukemia factor,295,33199
Q16537,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform (PP2A B subunit isoform B'-epsilon) (PP2A B subunit isoform B56-epsilon) (PP2A B subunit isoform PR61-epsilon) (PP2A B subunit isoform R5-epsilon),467,54699
Q16539,Mitogen-activated protein kinase 14 (MAP kinase 14) (MAPK 14) (EC 2.7.11.24) (Cytokine suppressive anti-inflammatory drug-binding protein) (CSAID-binding protein) (CSBP) (MAP kinase MXI2) (MAX-interacting protein 2) (Mitogen-activated protein kinase p38 alpha) (MAP kinase p38 alpha) (Stress-activated protein kinase 2a) (SAPK2a),360,41293
Q16540,"39S ribosomal protein L23, mitochondrial (L23mt) (MRP-L23) (L23 mitochondrial-related protein) (Mitochondrial large ribosomal subunit protein uL23m) (Ribosomal protein L23-like)",153,17781
Q16543,"Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit) (p50Cdc37) [Cleaved into: Hsp90 co-chaperone Cdc37, N-terminally processed]",378,44468
Q16548,Bcl-2-related protein A1 (Bcl-2-like protein 5) (Bcl2-L-5) (Hemopoietic-specific early response protein) (Protein BFL-1) (Protein GRS),175,20132
Q16549,Proprotein convertase subtilisin/kexin type 7 (EC 3.4.21.-) (Lymphoma proprotein convertase) (Prohormone convertase 7) (Proprotein convertase 7) (PC7) (Proprotein convertase 8) (PC8) (hPC8) (Subtilisin/kexin-like protease PC7),785,86247
Q16552,Interleukin-17A (IL-17) (IL-17A) (Cytotoxic T-lymphocyte-associated antigen 8) (CTLA-8),155,17504
Q16553,Lymphocyte antigen 6E (Ly-6E) (Retinoic acid-induced gene E protein) (RIG-E) (Stem cell antigen 2) (SCA-2) (Thymic shared antigen 1) (TSA-1),131,13507
Q16555,Dihydropyrimidinase-related protein 2 (DRP-2) (Collapsin response mediator protein 2) (CRMP-2) (N2A3) (Unc-33-like phosphoprotein 2) (ULIP-2),572,62294
Q16558,"Calcium-activated potassium channel subunit beta-1 (BK channel subunit beta-1) (BKbeta) (BKbeta1) (Hbeta1) (Calcium-activated potassium channel, subfamily M subunit beta-1) (Calcium-activated potassium channel subunit beta) (Charybdotoxin receptor subunit beta-1) (K(VCA)beta-1) (Maxi K channel subunit beta-1) (Slo-beta-1) (Slo-beta)",191,21797
Q16560,U11/U12 small nuclear ribonucleoprotein 35 kDa protein (U11/U12 snRNP 35 kDa protein) (U11/U12-35K) (Protein HM-1) (U1 snRNP-binding protein homolog),246,29450
Q16563,Synaptophysin-like protein 1 (Pantophysin),259,28565
Q16566,Calcium/calmodulin-dependent protein kinase type IV (CaMK IV) (EC 2.7.11.17) (CaM kinase-GR),473,51926
Q16568,Cocaine- and amphetamine-regulated transcript protein [Cleaved into: CART(1-39); CART(42-89)],116,12829
Q16570,Atypical chemokine receptor 1 (Duffy antigen/chemokine receptor) (Fy glycoprotein) (GpFy) (Glycoprotein D) (Plasmodium vivax receptor) (CD antigen CD234),336,35553
Q16572,Vesicular acetylcholine transporter (VAChT) (Solute carrier family 18 member 3),532,56903
